"Field","state1","state2","mat_elem1","mat_elem2"
10.9,"31,16,16.5,2.5","28,3,3.5,2.5",0.00257782278114907,10.5400902769961
11.35,"31,15,14.5,2.5","28,4,3.5,2.5",-1.91057301618169,0.00305796195804087
11.35,"31,15,15.5,2.5","28,4,3.5,2.5",-0.00878993151619322,0.00305796195804087
11.2,"28,17,16.5,2.5","31,3,2.5,2.5",-8.21851973104807,-4.1104576081757e-06
11.05,"28,17,17.5,2.5","31,3,2.5,2.5",0.00318502304355464,4.26956064593454e-06
11.25,"28,16,15.5,2.5","31,4,3.5,2.5",8.7988494065318,0.000165901793405762
11.15,"28,16,16.5,2.5","31,4,3.5,2.5",0.00573501763873178,0.000167054185526803
11.15,"31,14,13.5,2.5","28,5,4.5,2.5",-0.00888993793775319,0.00186473145126355
11.1,"31,14,14.5,2.5","28,5,4.5,2.5",1.90487022684284,0.00185504945428303
10.95,"31,13,12.5,2.5","28,6,5.5,2.5",-0.00297425755731986,-0.000837422002693935
10.9,"31,13,13.5,2.5","28,6,5.5,2.5",1.90252326746412,0.000874081632805506
11.45,"31,12,12.5,2.5","28,8,8.5,2.5",-2.03490240976865,12.2015148545358
11.35,"31,11,11.5,2.5","28,9,9.5,2.5",2.04419473120126,-11.6637086782356
