"index","Voltage","state"
216,10.75,"31,15,15.5,0.5,28,4,4.5,2.5"
216,10.75,"31,15,15.5,1.5,28,4,4.5,2.5"
216,10.75,"31,15,15.5,2.5,28,4,4.5,2.5"
208,10.35,"31,15,15.5,3.5,28,4,4.5,2.5"
242,12.05,"31,16,15.5,0.5,28,4,4.5,2.5"
242,12.05,"31,16,15.5,1.5,28,4,4.5,2.5"
242,12.05,"31,16,15.5,2.5,28,4,4.5,2.5"
240,11.95,"31,16,15.5,3.5,28,4,4.5,2.5"
242,12.05,"31,16,16.5,0.5,28,4,4.5,2.5"
242,12.05,"31,16,16.5,1.5,28,4,4.5,2.5"
240,11.95,"31,16,16.5,2.5,28,4,4.5,2.5"
231,11.5,"31,16,16.5,3.5,28,4,4.5,2.5"
259,12.9,"31,17,17.5,3.5,28,4,4.5,2.5"
220,10.95,"31,15,14.5,0.5,28,4,4.5,3.5"
220,10.95,"31,15,14.5,1.5,28,4,4.5,3.5"
219,10.9,"31,15,14.5,2.5,28,4,4.5,3.5"
219,10.9,"31,15,14.5,3.5,28,4,4.5,3.5"
220,10.95,"31,15,15.5,0.5,28,4,4.5,3.5"
219,10.9,"31,15,15.5,1.5,28,4,4.5,3.5"
219,10.9,"31,15,15.5,2.5,28,4,4.5,3.5"
212,10.55,"31,15,15.5,3.5,28,4,4.5,3.5"
246,12.25,"31,16,15.5,0.5,28,4,4.5,3.5"
246,12.25,"31,16,15.5,1.5,28,4,4.5,3.5"
245,12.2,"31,16,15.5,2.5,28,4,4.5,3.5"
244,12.15,"31,16,15.5,3.5,28,4,4.5,3.5"
246,12.25,"31,16,16.5,0.5,28,4,4.5,3.5"
245,12.2,"31,16,16.5,1.5,28,4,4.5,3.5"
244,12.15,"31,16,16.5,2.5,28,4,4.5,3.5"
234,11.65,"31,16,16.5,3.5,28,4,4.5,3.5"
209,10.4,"31,14,13.5,0.5,28,5,4.5,0.5"
209,10.4,"31,14,13.5,1.5,28,5,4.5,0.5"
209,10.4,"31,14,13.5,2.5,28,5,4.5,0.5"
209,10.4,"31,14,13.5,3.5,28,5,4.5,0.5"
208,10.35,"31,14,14.5,0.5,28,5,4.5,0.5"
209,10.4,"31,14,14.5,1.5,28,5,4.5,0.5"
209,10.4,"31,14,14.5,2.5,28,5,4.5,0.5"
202,10.05,"31,14,14.5,3.5,28,5,4.5,0.5"
233,11.6,"31,15,14.5,0.5,28,5,4.5,0.5"
233,11.6,"31,15,14.5,1.5,28,5,4.5,0.5"
232,11.55,"31,15,14.5,2.5,28,5,4.5,0.5"
232,11.55,"31,15,14.5,3.5,28,5,4.5,0.5"
233,11.6,"31,15,15.5,0.5,28,5,4.5,0.5"
232,11.55,"31,15,15.5,1.5,28,5,4.5,0.5"
232,11.55,"31,15,15.5,2.5,28,5,4.5,0.5"
223,11.1,"31,15,15.5,3.5,28,5,4.5,0.5"
249,12.4,"31,16,16.5,3.5,28,5,4.5,0.5"
213,10.6,"31,14,13.5,0.5,28,5,4.5,1.5"
213,10.6,"31,14,13.5,1.5,28,5,4.5,1.5"
213,10.6,"31,14,13.5,2.5,28,5,4.5,1.5"
213,10.6,"31,14,13.5,3.5,28,5,4.5,1.5"
213,10.6,"31,14,14.5,0.5,28,5,4.5,1.5"
213,10.6,"31,14,14.5,1.5,28,5,4.5,1.5"
213,10.6,"31,14,14.5,2.5,28,5,4.5,1.5"
206,10.25,"31,14,14.5,3.5,28,5,4.5,1.5"
238,11.85,"31,15,14.5,0.5,28,5,4.5,1.5"
